ID_REF  VALUE   PLIER
1552573_s_at    1.3433532       1.2877164
1552575_a_at    1.1078488       0.75895286
1552576_at      2.6314483       1.6569852
1552578_a_at    0.5296002       0.5126646
1552579_a_at    0.67160064      0.95980096
1552580_at      0.887407        1.0185968
1552582_at      0.78550595      0.121356405
1552583_s_at    0.41183814      0.9605827
1552584_at      0.5427403       0.7896089
1552585_s_at    0.5786682       0.8248161
1552586_at      0.7506705       1.0791368
1552587_at      0.8072748       1.35101
1552588_a_at    0.5277067       0.5767439
1552590_a_at    0.37634847      0.6797246
1552592_at      0.82000613      0.68136895
1552594_at      0.73327196      1.2026614
1552596_at      0.9710465       0.950163
1552598_at      0.5434567       1.1536044
1552599_at      0.43203887      0.83816546
1552602_at      1.0755489       0.96499145
1552604_at      0.5801974       1.0186274
1552605_s_at    0.5574659       1.0200341
1552607_at      0.71027744      0.98206127
1552608_at      0.7400771       0.55987316
1552609_s_at    0.5351201       1.1114155
1552610_a_at    0.42092603      0.44058943
1552611_a_at    1.5872922       1.4726477
1552612_at      0.4405326       0.5205666
1552613_s_at    0.4609845       0.4718273
1552615_at      0.7791334       0.8967539
1552616_a_at    1.0410011       1.1702838
1552617_a_at    0.46684992      0.5477381
1552618_at      0.57851195      0.58622724
1552619_a_at    1.1502447       1.0422311
1552620_at      1.0456759       0.9616564
1552621_at      1.6888467       1.6137621
1552622_s_at    2.006932        1.7306637
1552623_at      0.6594307       0.8020242
1552625_a_at    0.59986347      0.60987043
1552626_a_at    0.7116139       0.73147285
1552627_a_at    1.3071849       1.1992627
1552628_a_at    1.0397918       0.9801724
1552629_a_at    0.7703999       0.6923228
1552630_a_at    0.8135381       0.9380521
1552631_a_at    0.92953146      1.0203899
1552632_a_at    0.5989165       0.7890047
1552633_at      1.4355761       1.0652299
1552634_a_at    1.2391403       1.239544
1552637_at      0.38963255      0.7762209
1552639_at      0.5282044       0.8100384
1552641_s_at    0.33119032      0.51614255
1552643_at      0.9142495       0.83664256
1552644_a_at    1.9249017       1.1916645
1552646_at      0.65016973      0.9855303
1552648_a_at    0.56009954      1.6444105
